bc/std,inwoners (x 1.000),gemiddeld persoonlijk inkomen (x 1.000 euro),personen met een heel jaar inkomen (x 1.000),gemiddeld persoonlijk inkomen per persoon met een heel jaar inkomen (x 1.000 euro),huishoudens (x 1.000),gemiddeld besteedbaar inkomen per huishouden (x 1.000 euro),index gestandaardiseerd inkomen huishoudens (Ned.=100)
M55 Frankendael,9.9,21.2,7.2,28.2,4.7,29.0,93.3
M56 Middenmeer,13.8,27.5,9.5,39.4,5.9,39.9,119.2
M57 Betondorp,3.1,19.3,2.5,23.8,1.9,23.2,79.5
M58 De Omval,2.0,25.4,1.4,34.7,0.6,44.9,149.0
M Oost,119.8,23.2,82.8,32.8,55.8,31.9,100.0
N60 Volewijck,9.4,15.6,6.6,21.7,4.6,23.3,73.6
N61 IJplein/Vogelbuurt,8.2,16.7,5.7,23.5,4.1,24.1,77.0
N62 Tuindorp Nieuwendam,3.4,19.1,2.7,24.0,1.8,26.2,83.3
N63 Tuindorp Buiksloot,1.9,17.7,1.4,22.9,0.9,26.8,81.2
N64 Nieuwendammerdijk/Buiksloterdijk,1.7,29.3,1.2,43.1,0.6,49.1,134.7
N65 Tuindorp Oostzaan,10.4,18.5,7.7,24.4,5.0,27.0,82.4
N66 Oostzanerwerf,8.5,20.8,6.0,29.3,3.6,33.1,96.2
N67 Kadoelen,2.9,23.5,2.1,31.5,1.2,37.7,107.5
N68 Nieuwendam-Noord,12.2,15.6,7.4,24.6,5.0,27.2,81.6
N69 Buikslotermeer,12.3,18.4,8.5,25.7,5.6,28.1,88.7
N70 Banne Buiksloot,12.7,16.5,8.2,24.7,5.5,27.3,82.0
N71 Buiksloterham,1.0,20.5,0.7,27.7,0.3,31.7,98.7
N72 Nieuwendammerham,0.1,x,x,x,x,x,x
N73 Waterland,2.1,27.2,1.5,38.1,0.9,45.1,125.1
N Noord,86.6,18.2,59.7,25.7,39.2,28.2,85.8
T92 Amstel III/Bullewijk,0.2,12.9,x,x,x,x,x
T93 Bijlmer Centrum (D-F-H),21.2,15.8,13.7,23.7,10.2,23.3,74.1
T94 Bijlmer Oost (E-G-K),25.7,17.0,16.8,25.3,12.0,25.4,79.5
T95 Nellestein,2.9,25.8,2.2,33.2,1.6,29.4,100.0
T96 Holendrecht/Reigersbos,18.4,17.5,12.5,25.1,8.5,27.0,83.3
T97 Gein,11.9,19.6,8.3,27.5,5.3,30.2,89.1
T98 Driemond,1.5,24.3,1.1,33.1,0.6,38.2,107.5
T Zuidoost,81.8,17.6,54.6,25.6,38.3,26.2,81.6
ASD Amsterdam,779.8,23.0,547.6,31.9,381.1,30.7,98.3
